Portal,Score
UK,129.6
India,126
United States,124.6
Australia,120.4
Austria,114.2
Canada,111.3
France,110.7
Russia,110.6
Moldova,109.4
Croatia,107.2
Germany,106.6
Paraguay,105.8
Greece,104.2
Finland,104.2
Chile,103.9
Brazil,102.5
Switzerland,102.4
New Zealand,102.3
Ireland,102.1
Nepal,100.2
Taiwan,99.9
Portugal,99.6
Tanzania,98.8
Japan,98.7
Belarus,98.4
Bulgaria,97.9
South Korea,97.8
Uruguay,97.7
Sweden,97.6
Spain,97.3
Italy,96.5
Colombia,96.4
Indonesia,95.7
Singapore,94.6
Slovakia,94.4
El Salvador,94.1
Romania,93.7
Morocco,92.7
Netherlands,92.7
Philippines,92.5
Marin,92.5
Ghana,92.4
Denmark,92.2
Pakistan,91.2
Norway,90.7
Poland,90.6
Kenya,90.2
Sri Lanka,90
Macedonia,88.3
Belgium,88.2
Thailand,88.2
Czech Republic,87.4
Uzbekistan,87.1
Kazakhstan,86.7
Cyprus,86
Serbia,85.5
Ukraine,85.1
Costa Rica,84.9
Uganda,84.2
Saudi Arabia,84
San Rafael,82.6
Petaluma,79.5
Hong Kong,79
Mexico,77.6
Brunei,76.4
Malaysia,73.8
Lithuania,72.1
Burkina Faso,71.9
Tunisia,69.7
Israel,68.7
